filer,filingYear,name,nature,grossIncomeReceived,address,businessFmv,businessOrTrust,realPropertyNameOrAddress,realPropertyFmv,realPropertyInvestmentOrProperty,realPropertyNature,formUrl,legislatorDigitalDemocracyUrl
Brian Maienschein,2023,Collectible Books and More SD ,,"$10,001 - $100,000","9550 Kearny Mesa Road, San Diego, CA 92126",,,9550 Kearny Mesa Road ,"$10,001 - $100,000",Property,Leasehold,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fd8fa59-ce21-41ad-af4b-1a5ceef33d45.pdf,https://digitaldemocracy.calmatters.org/legislators/brian-maienschein-84
Brian Maienschein,2022,Collectible Books and More SD,Sole Proprietorship,"$10,001 - $100,000","9550 Kearny Mesa Rd. San Diego, CA 92126","$10,001 - $100,000",Business entity,9550 Kearny Mesa Rd.,"$2,000 - $10,000",Property,Leasehold,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b11a56c6-0a54-494f-9605-a51401821a8f.pdf,https://digitaldemocracy.calmatters.org/legislators/brian-maienschein-84
Brian Maienschein,2021,Collectible Books and More SD,Sole Proprietorship,"$10,001 - $100,000","9550 Kearny Mesa Rd. San Diego, CA 92126","$10,001 - $100,000",Business entity,9550 Kearny Mesa Rd.,"$2,000 - $10,000",Property,Leasehold,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f106369a-a14b-4333-9cd5-fa54f385b802.pdf,https://digitaldemocracy.calmatters.org/legislators/brian-maienschein-84
Suzette Martinez,2024,Little Steps of Faith Preschool,Other,"$10,001 - $100,000","14021 Sayre Street, Sylmar","$0 - $1,999",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c81e8afb-0f8b-4ac1-ba37-eaa4f0808d19.pdf,https://digitaldemocracy.calmatters.org/legislators/suzette-martinez
Suzette Martinez,2024,Good Citizen Strategies,Sole Proprietorship,"$10,001 - $100,000",1903 Leandro,"$10,001 - $100,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c81e8afb-0f8b-4ac1-ba37-eaa4f0808d19.pdf,https://digitaldemocracy.calmatters.org/legislators/suzette-martinez
Tina McKinnor,2024,The McKinnor Group,Sole Proprietorship,"$10,001 - $100,000","1140 S. Grevillea Ave, Inglewood, CA 90301","$10,001 - $100,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ba48c377-16b2-4c05-a61b-e968dfee5cc2.pdf,https://digitaldemocracy.calmatters.org/legislators/tina-mckinnor-35053
Tina McKinnor,2023,The McKinnor Group,Partnership,"$10,001 - $100,000","12707 Freeman Ave., Hawthorne, CA 90250","$10,001 - $100,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/849bc007-2851-484e-90a7-033f9962bde3.pdf,https://digitaldemocracy.calmatters.org/legislators/tina-mckinnor-35053
Tina McKinnor,2022,The McKinnor Group,Partnership,"$10,001 - $100,000","12707 Freeman Ave., Hawthorne, CA 90250","$10,001 - $100,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/a1e2fb48-290c-4026-a27e-a0a3df31840b.pdf,https://digitaldemocracy.calmatters.org/legislators/tina-mckinnor-35053
Tina McKinnor,2022,The McKinnor Group,Partnership,"$10,001 - $100,000","12707 Freeman Ave., Hawthorne, CA 90250","$10,001 - $100,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/16c3965a-dbe6-41f7-81eb-f87c73165545.pdf,https://digitaldemocracy.calmatters.org/legislators/tina-mckinnor-35053
Melissa Melendez,2021,"Melendez Consulting, Inc",Partnership,"$10,001 - $100,000","9 Corte Rossa, Lake Elsinore 92532","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bc08e145-b834-4c80-80f6-0558f60a8aa3.pdf,https://digitaldemocracy.calmatters.org/legislators/melissa-melendez
